fir_number,date_filed,time_filed,police_station,district,crime_type,ipc_sections,location_description,latitude,longitude,description_text,status,filed_by_officer_id,created_at
BLR-2024-0012,2025-06-18,06:30:00,MG Road PS,Bengaluru Central,Robbery,"IPC 392, IPC 394",Electronic City,12.997385,77.613714,A complaint regarding robbery was lodged at the Electronic City police station. The incident reportedly occurred in a busy area during daylight hours. Local authorities have taken cognizance of the matter and filed an FIR. Further investigation is underway to identify and apprehend the suspect.,open,12,2025-06-18 01:51:00
BLR-2024-0013,2025-09-23,22:45:00,Jalahalli PS,Bengaluru North,Fraud,"IPC 420, IPC 468",Malleshwaram,13.036064,77.564769,Residents of Malleshwaram reported a fraud incident to the police. The victim sustained losses and immediately notified the nearest police station. CCTV footage from nearby cameras is being reviewed by the investigating team. The police have assured that the matter will be resolved promptly.,open,13,2025-09-23 02:41:00
BLR-2024-0014,2026-03-12,09:45:00,Peenya PS,Bengaluru West,Vandalism,"IPC 427, IPC 435",Brigade Road,13.023081,77.545,"An incident of vandalism was reported in Brigade Road, Bangalore. The victim approached the local police station and filed a complaint. Witnesses present at the scene confirmed the occurrence of the incident. Police have registered the case and begun their investigation.",open,14,2026-03-12 02:15:00
BLR-2024-0015,2025-08-27,16:10:00,Vijayanagar PS,Bengaluru West,Fraud,"IPC 420, IPC 468",Vijayanagar,13.002339,77.552291,"An incident of fraud was reported in Vijayanagar, Bangalore. The victim approached the local police station and filed a complaint. Witnesses present at the scene confirmed the occurrence of the incident. Police have registered the case and begun their investigation.",under_investigation,15,2025-08-27 04:23:00
BLR-2024-0016,2025-08-25,06:30:00,JP Nagar PS,Bengaluru South,Stalking,IPC 354D,Bannerghatta Road,12.925667,77.556364,Residents of Bannerghatta Road reported a stalking incident to the police. The victim sustained losses and immediately notified the nearest police station. CCTV footage from nearby cameras is being reviewed by the investigating team. The police have assured that the matter will be resolved promptly.,open,16,2025-08-25 02:40:00
BLR-2024-0017,2025-10-15,22:45:00,Marathahalli PS,Bengaluru East,Robbery,"IPC 392, IPC 394",Koramangala,12.997713,77.676172,Residents of Koramangala reported a robbery incident to the police. The victim sustained losses and immediately notified the nearest police station. CCTV footage from nearby cameras is being reviewed by the investigating team. The police have assured that the matter will be resolved promptly.,closed,17,2025-10-15 05:16:00
BLR-2024-0018,2026-02-27,20:00:00,Cubbon Park PS,Bengaluru Central,Vehicle Theft,IPC 379,Bellandur,12.997211,77.584582,A complaint regarding vehicle theft was lodged at the Bellandur police station. The incident reportedly occurred in a busy area during daylight hours. Local authorities have taken cognizance of the matter and filed an FIR. Further investigation is underway to identify and apprehend the suspect.,open,18,2026-02-27 03:07:00
BLR-2024-0019,2026-05-07,02:15:00,Marathahalli PS,Bengaluru East,Drug Possession,IPC 379,Frazer Town,12.962653,77.630389,A case of drug possession occurred near Frazer Town area in Bangalore. The complainant stated that the incident took place during the early hours. The accused fled the scene before authorities could arrive. Officers have collected evidence and are currently pursuing leads.,open,19,2026-05-07 05:48:00
BLR-2024-0020,2026-02-10,00:30:00,Hebbal PS,Bengaluru North,Chain Snatching,IPC 379,Hebbal,13.050461,77.557449,A case of chain snatching occurred near Hebbal area in Bangalore. The complainant stated that the incident took place during the early hours. The accused fled the scene before authorities could arrive. Officers have collected evidence and are currently pursuing leads.,open,20,2026-02-10 05:38:00
BLR-2024-0021,2026-03-23,20:00:00,Vijayanagar PS,Bengaluru West,Domestic Violence,"IPC 498A, IPC 323",Vijayanagar,12.97917,77.553376,A case of domestic violence occurred near Vijayanagar area in Bangalore. The complainant stated that the incident took place during the early hours. The accused fled the scene before authorities could arrive. Officers have collected evidence and are currently pursuing leads.,under_investigation,21,2026-03-23 01:38:00
BLR-2024-0022,2026-04-22,14:50:00,Yelahanka PS,Bengaluru North,Vandalism,"IPC 427, IPC 435",Yelahanka,13.049316,77.557831,A complaint regarding vandalism was lodged at the Yelahanka police station. The incident reportedly occurred in a busy area during daylight hours. Local authorities have taken cognizance of the matter and filed an FIR. Further investigation is underway to identify and apprehend the suspect.,open,22,2026-04-22 02:03:00
BLR-2024-0023,2026-04-12,08:15:00,Yelahanka PS,Bengaluru North,Kidnapping,"IPC 363, IPC 365",Yelahanka,13.072681,77.616286,A complaint regarding kidnapping was lodged at the Yelahanka police station. The incident reportedly occurred in a busy area during daylight hours. Local authorities have taken cognizance of the matter and filed an FIR. Further investigation is underway to identify and apprehend the suspect.,closed,23,2026-04-12 01:48:00
BLR-2024-0024,2026-05-17,18:30:00,Shivajinagar PS,Bengaluru Central,Cybercrime,"IT Act 66C, IT Act 66D",Shivajinagar,13.000633,77.585136,A complaint regarding cybercrime was lodged at the Shivajinagar police station. The incident reportedly occurred in a busy area during daylight hours. Local authorities have taken cognizance of the matter and filed an FIR. Further investigation is underway to identify and apprehend the suspect.,under_investigation,24,2026-05-17 02:16:00
BLR-2024-0025,2026-01-23,11:00:00,Marathahalli PS,Bengaluru East,Chain Snatching,IPC 379,Marathahalli,13.019795,77.680777,Residents of Marathahalli reported a chain snatching incident to the police. The victim sustained losses and immediately notified the nearest police station. CCTV footage from nearby cameras is being reviewed by the investigating team. The police have assured that the matter will be resolved promptly.,under_investigation,25,2026-01-23 02:45:00
BLR-2024-0026,2025-10-27,18:30:00,Marathahalli PS,Bengaluru East,Theft,IPC 379,Frazer Town,13.029612,77.707985,Residents of Frazer Town reported a theft incident to the police. The victim sustained losses and immediately notified the nearest police station. CCTV footage from nearby cameras is being reviewed by the investigating team. The police have assured that the matter will be resolved promptly.,under_investigation,26,2025-10-27 04:07:00
BLR-2024-0027,2026-02-06,20:00:00,JP Nagar PS,Bengaluru South,Vehicle Theft,IPC 379,Kammanahalli,12.894482,77.551472,A case of vehicle theft occurred near Kammanahalli area in Bangalore. The complainant stated that the incident took place during the early hours. The accused fled the scene before authorities could arrive. Officers have collected evidence and are currently pursuing leads.,open,27,2026-02-06 05:14:00
BLR-2024-0028,2025-06-11,08:15:00,Sadashivanagar PS,Bengaluru North,Hit and Run,"IPC 279, IPC 304A",HSR Layout,13.06247,77.554121,"An incident of hit and run was reported in HSR Layout, Bangalore. The victim approached the local police station and filed a complaint. Witnesses present at the scene confirmed the occurrence of the incident. Police have registered the case and begun their investigation.",open,28,2025-06-11 03:04:00
BLR-2024-0029,2026-03-20,11:00:00,BTM Layout PS,Bengaluru South,Assault,"IPC 351, IPC 352",BTM Layout,12.90666,77.596828,"An incident of assault was reported in BTM Layout, Bangalore. The victim approached the local police station and filed a complaint. Witnesses present at the scene confirmed the occurrence of the incident. Police have registered the case and begun their investigation.",under_investigation,29,2026-03-20 02:46:00
BLR-2024-0030,2026-03-12,16:10:00,Varthur PS,Bengaluru East,Vandalism,"IPC 427, IPC 435",Koramangala,12.987814,77.724154,A complaint regarding vandalism was lodged at the Koramangala police station. The incident reportedly occurred in a busy area during daylight hours. Local authorities have taken cognizance of the matter and filed an FIR. Further investigation is underway to identify and apprehend the suspect.,open,30,2026-03-12 01:06:00
BLR-2024-0031,2026-04-22,02:15:00,Indiranagar PS,Bengaluru East,Burglary,IPC 379,Indiranagar,12.978344,77.679332,A case of burglary occurred near Indiranagar area in Bangalore. The complainant stated that the incident took place during the early hours. The accused fled the scene before authorities could arrive. Officers have collected evidence and are currently pursuing leads.,open,31,2026-04-22 01:03:00
BLR-2024-0032,2025-11-20,08:15:00,Vijayanagar PS,Bengaluru West,Cybercrime,"IT Act 66C, IT Act 66D",Vijayanagar,13.013693,77.556041,Residents of Vijayanagar reported a cybercrime incident to the police. The victim sustained losses and immediately notified the nearest police station. CCTV footage from nearby cameras is being reviewed by the investigating team. The police have assured that the matter will be resolved promptly.,open,32,2025-11-20 02:12:00
BLR-2024-0033,2025-06-28,18:30:00,Vasanth Nagar PS,Bengaluru Central,Kidnapping,"IPC 363, IPC 365",Frazer Town,12.975607,77.58734,A case of kidnapping occurred near Frazer Town area in Bangalore. The complainant stated that the incident took place during the early hours. The accused fled the scene before authorities could arrive. Officers have collected evidence and are currently pursuing leads.,open,33,2025-06-28 01:28:00
BLR-2024-0034,2025-06-09,06:30:00,Cubbon Park PS,Bengaluru Central,Cheating,IPC 379,Bellandur,12.972024,77.619971,A complaint regarding cheating was lodged at the Bellandur police station. The incident reportedly occurred in a busy area during daylight hours. Local authorities have taken cognizance of the matter and filed an FIR. Further investigation is underway to identify and apprehend the suspect.,open,34,2025-06-09 02:10:00
BLR-2024-0035,2025-10-24,06:30:00,Peenya PS,Bengaluru West,Assault,"IPC 351, IPC 352",Frazer Town,12.998882,77.560526,A complaint regarding assault was lodged at the Frazer Town police station. The incident reportedly occurred in a busy area during daylight hours. Local authorities have taken cognizance of the matter and filed an FIR. Further investigation is underway to identify and apprehend the suspect.,open,35,2025-10-24 04:00:00
BLR-2024-0036,2025-12-04,18:30:00,Marathahalli PS,Bengaluru East,Fraud,"IPC 420, IPC 468",Marathahalli,12.971216,77.724088,A case of fraud occurred near Marathahalli area in Bangalore. The complainant stated that the incident took place during the early hours. The accused fled the scene before authorities could arrive. Officers have collected evidence and are currently pursuing leads.,open,36,2025-12-04 04:44:00
BLR-2024-0037,2025-07-26,06:30:00,Vasanth Nagar PS,Bengaluru Central,Cheating,IPC 379,Brigade Road,12.976192,77.591868,"An incident of cheating was reported in Brigade Road, Bangalore. The victim approached the local police station and filed a complaint. Witnesses present at the scene confirmed the occurrence of the incident. Police have registered the case and begun their investigation.",under_investigation,37,2025-07-26 05:03:00
BLR-2024-0038,2026-05-11,20:00:00,Yelahanka PS,Bengaluru North,Vandalism,"IPC 427, IPC 435",Yelahanka,13.02343,77.590892,"An incident of vandalism was reported in Yelahanka, Bangalore. The victim approached the local police station and filed a complaint. Witnesses present at the scene confirmed the occurrence of the incident. Police have registered the case and begun their investigation.",under_investigation,38,2026-05-11 02:03:00
BLR-2024-0039,2025-08-27,08:15:00,Cubbon Park PS,Bengaluru Central,Fraud,"IPC 420, IPC 468",Frazer Town,13.004054,77.582741,A complaint regarding fraud was lodged at the Frazer Town police station. The incident reportedly occurred in a busy area during daylight hours. Local authorities have taken cognizance of the matter and filed an FIR. Further investigation is underway to identify and apprehend the suspect.,open,39,2025-08-27 04:07:00
BLR-2024-0040,2025-12-11,22:45:00,BTM Layout PS,Bengaluru South,Theft,IPC 379,BTM Layout,12.907235,77.591616,Residents of BTM Layout reported a theft incident to the police. The victim sustained losses and immediately notified the nearest police station. CCTV footage from nearby cameras is being reviewed by the investigating team. The police have assured that the matter will be resolved promptly.,open,40,2025-12-11 04:42:00
BLR-2024-0041,2026-03-26,11:00:00,Cunningham Road PS,Bengaluru Central,Drug Possession,IPC 379,Bannerghatta Road,12.990911,77.617388,A case of drug possession occurred near Bannerghatta Road area in Bangalore. The complainant stated that the incident took place during the early hours. The accused fled the scene before authorities could arrive. Officers have collected evidence and are currently pursuing leads.,open,41,2026-03-26 02:16:00
BLR-2024-0042,2025-06-22,18:30:00,Yelahanka PS,Bengaluru North,Chain Snatching,IPC 379,Yelahanka,13.027853,77.595185,A complaint regarding chain snatching was lodged at the Yelahanka police station. The incident reportedly occurred in a busy area during daylight hours. Local authorities have taken cognizance of the matter and filed an FIR. Further investigation is underway to identify and apprehend the suspect.,open,42,2025-06-22 01:00:00
BLR-2024-0043,2026-01-31,08:15:00,MG Road PS,Bengaluru Central,Vehicle Theft,IPC 379,MG Road,12.994846,77.60252,A case of vehicle theft occurred near MG Road area in Bangalore. The complainant stated that the incident took place during the early hours. The accused fled the scene before authorities could arrive. Officers have collected evidence and are currently pursuing leads.,open,43,2026-01-31 05:13:00
BLR-2024-0044,2026-04-26,08:15:00,Shivajinagar PS,Bengaluru Central,Assault,"IPC 351, IPC 352",HSR Layout,12.975298,77.59396,A case of assault occurred near HSR Layout area in Bangalore. The complainant stated that the incident took place during the early hours. The accused fled the scene before authorities could arrive. Officers have collected evidence and are currently pursuing leads.,open,44,2026-04-26 03:18:00
BLR-2024-0045,2026-01-02,22:45:00,BTM Layout PS,Bengaluru South,Domestic Violence,"IPC 498A, IPC 323",Brigade Road,12.948362,77.599248,A complaint regarding domestic violence was lodged at the Brigade Road police station. The incident reportedly occurred in a busy area during daylight hours. Local authorities have taken cognizance of the matter and filed an FIR. Further investigation is underway to identify and apprehend the suspect.,under_investigation,45,2026-01-02 01:42:00
BLR-2024-0046,2025-07-01,09:45:00,Shivajinagar PS,Bengaluru Central,Stalking,IPC 354D,Kammanahalli,13.00727,77.584143,"An incident of stalking was reported in Kammanahalli, Bangalore. The victim approached the local police station and filed a complaint. Witnesses present at the scene confirmed the occurrence of the incident. Police have registered the case and begun their investigation.",open,46,2025-07-01 01:56:00
BLR-2024-0047,2026-03-03,11:00:00,Malleswaram PS,Bengaluru North,Robbery,"IPC 392, IPC 394",Sarjapur,13.029327,77.569723,A complaint regarding robbery was lodged at the Sarjapur police station. The incident reportedly occurred in a busy area during daylight hours. Local authorities have taken cognizance of the matter and filed an FIR. Further investigation is underway to identify and apprehend the suspect.,open,47,2026-03-03 02:43:00
BLR-2024-0048,2026-05-24,06:30:00,Vijayanagar PS,Bengaluru West,Burglary,IPC 379,Vijayanagar,13.000325,77.517578,A complaint regarding burglary was lodged at the Vijayanagar police station. The incident reportedly occurred in a busy area during daylight hours. Local authorities have taken cognizance of the matter and filed an FIR. Further investigation is underway to identify and apprehend the suspect.,open,48,2026-05-24 04:53:00
BLR-2024-0049,2026-03-18,09:45:00,MG Road PS,Bengaluru Central,Theft,IPC 379,MG Road,12.971763,77.593342,A case of theft occurred near MG Road area in Bangalore. The complainant stated that the incident took place during the early hours. The accused fled the scene before authorities could arrive. Officers have collected evidence and are currently pursuing leads.,open,49,2026-03-18 02:47:00
BLR-2024-0050,2025-12-21,06:30:00,Rajajinagar PS,Bengaluru West,Stalking,IPC 354D,Rajajinagar,13.003101,77.529938,A complaint regarding stalking was lodged at the Rajajinagar police station. The incident reportedly occurred in a busy area during daylight hours. Local authorities have taken cognizance of the matter and filed an FIR. Further investigation is underway to identify and apprehend the suspect.,open,50,2025-12-21 01:56:00
BLR-2024-0051,2026-04-29,20:00:00,Basavanagudi PS,Bengaluru South,Hit and Run,"IPC 279, IPC 304A",Bellandur,12.892522,77.575845,A case of hit and run occurred near Bellandur area in Bangalore. The complainant stated that the incident took place during the early hours. The accused fled the scene before authorities could arrive. Officers have collected evidence and are currently pursuing leads.,open,51,2026-04-29 04:08:00
BLR-2024-0052,2025-11-09,06:30:00,Vijayanagar PS,Bengaluru West,Domestic Violence,"IPC 498A, IPC 323",Vijayanagar,12.988496,77.562929,Residents of Vijayanagar reported a domestic violence incident to the police. The victim sustained losses and immediately notified the nearest police station. CCTV footage from nearby cameras is being reviewed by the investigating team. The police have assured that the matter will be resolved promptly.,open,52,2025-11-09 02:43:00
BLR-2024-0053,2026-04-03,20:00:00,Indiranagar PS,Bengaluru East,Burglary,IPC 379,Indiranagar,13.003355,77.672441,Residents of Indiranagar reported a burglary incident to the police. The victim sustained losses and immediately notified the nearest police station. CCTV footage from nearby cameras is being reviewed by the investigating team. The police have assured that the matter will be resolved promptly.,closed,53,2026-04-03 05:47:00
BLR-2024-0054,2026-02-20,09:45:00,JP Nagar PS,Bengaluru South,Robbery,"IPC 392, IPC 394",Bannerghatta Road,12.950522,77.618334,A complaint regarding robbery was lodged at the Bannerghatta Road police station. The incident reportedly occurred in a busy area during daylight hours. Local authorities have taken cognizance of the matter and filed an FIR. Further investigation is underway to identify and apprehend the suspect.,closed,54,2026-02-20 01:11:00
BLR-2024-0055,2025-06-23,11:00:00,Marathahalli PS,Bengaluru East,Stalking,IPC 354D,Koramangala,13.014179,77.733688,A case of stalking occurred near Koramangala area in Bangalore. The complainant stated that the incident took place during the early hours. The accused fled the scene before authorities could arrive. Officers have collected evidence and are currently pursuing leads.,open,55,2025-06-23 02:50:00
BLR-2024-0056,2025-06-26,18:30:00,Jayanagar PS,Bengaluru South,Hit and Run,"IPC 279, IPC 304A",Jayanagar,12.916778,77.552711,A case of hit and run occurred near Jayanagar area in Bangalore. The complainant stated that the incident took place during the early hours. The accused fled the scene before authorities could arrive. Officers have collected evidence and are currently pursuing leads.,open,56,2025-06-26 02:52:00
BLR-2024-0057,2026-04-25,11:00:00,Magadi Road PS,Bengaluru West,Kidnapping,"IPC 363, IPC 365",Brigade Road,12.988311,77.555674,Residents of Brigade Road reported a kidnapping incident to the police. The victim sustained losses and immediately notified the nearest police station. CCTV footage from nearby cameras is being reviewed by the investigating team. The police have assured that the matter will be resolved promptly.,open,57,2026-04-25 01:42:00
BLR-2024-0058,2026-05-06,08:15:00,Basavanagudi PS,Bengaluru South,Chain Snatching,IPC 379,Basavanagudi,12.917893,77.569502,A case of chain snatching occurred near Basavanagudi area in Bangalore. The complainant stated that the incident took place during the early hours. The accused fled the scene before authorities could arrive. Officers have collected evidence and are currently pursuing leads.,open,58,2026-05-06 03:41:00
BLR-2024-0059,2026-03-25,20:00:00,Jayanagar PS,Bengaluru South,Vehicle Theft,IPC 379,Jayanagar,12.917977,77.61868,A case of vehicle theft occurred near Jayanagar area in Bangalore. The complainant stated that the incident took place during the early hours. The accused fled the scene before authorities could arrive. Officers have collected evidence and are currently pursuing leads.,open,59,2026-03-25 01:07:00
BLR-2024-0060,2025-06-08,06:30:00,Whitefield PS,Bengaluru East,Cybercrime,"IT Act 66C, IT Act 66D",Bellandur,12.996447,77.748026,A complaint regarding cybercrime was lodged at the Bellandur police station. The incident reportedly occurred in a busy area during daylight hours. Local authorities have taken cognizance of the matter and filed an FIR. Further investigation is underway to identify and apprehend the suspect.,open,60,2025-06-08 05:27:00
BLR-2024-0061,2026-04-27,08:15:00,KR Puram PS,Bengaluru East,Robbery,"IPC 392, IPC 394",Brigade Road,12.984912,77.748108,"An incident of robbery was reported in Brigade Road, Bangalore. The victim approached the local police station and filed a complaint. Witnesses present at the scene confirmed the occurrence of the incident. Police have registered the case and begun their investigation.",closed,61,2026-04-27 05:12:00
BLR-2024-0062,2025-08-05,20:00:00,Indiranagar PS,Bengaluru East,Fraud,"IPC 420, IPC 468",Indiranagar,12.953551,77.682327,A case of fraud occurred near Indiranagar area in Bangalore. The complainant stated that the incident took place during the early hours. The accused fled the scene before authorities could arrive. Officers have collected evidence and are currently pursuing leads.,under_investigation,62,2025-08-05 02:23:00
BLR-2024-0063,2026-04-25,22:45:00,Rajajinagar PS,Bengaluru West,Chain Snatching,IPC 379,Bannerghatta Road,13.026932,77.564454,A case of chain snatching occurred near Bannerghatta Road area in Bangalore. The complainant stated that the incident took place during the early hours. The accused fled the scene before authorities could arrive. Officers have collected evidence and are currently pursuing leads.,open,63,2026-04-25 01:46:00
BLR-2024-0064,2025-08-24,16:10:00,Varthur PS,Bengaluru East,Kidnapping,"IPC 363, IPC 365",Frazer Town,12.974743,77.679007,"An incident of kidnapping was reported in Frazer Town, Bangalore. The victim approached the local police station and filed a complaint. Witnesses present at the scene confirmed the occurrence of the incident. Police have registered the case and begun their investigation.",open,64,2025-08-24 05:08:00
BLR-2024-0065,2026-04-06,00:30:00,MG Road PS,Bengaluru Central,Vandalism,"IPC 427, IPC 435",MG Road,12.986818,77.617615,A complaint regarding vandalism was lodged at the MG Road police station. The incident reportedly occurred in a busy area during daylight hours. Local authorities have taken cognizance of the matter and filed an FIR. Further investigation is underway to identify and apprehend the suspect.,open,65,2026-04-06 05:36:00
BLR-2024-0066,2025-06-14,13:20:00,Marathahalli PS,Bengaluru East,Theft,IPC 379,Bannerghatta Road,12.993835,77.630049,"An incident of theft was reported in Bannerghatta Road, Bangalore. The victim approached the local police station and filed a complaint. Witnesses present at the scene confirmed the occurrence of the incident. Police have registered the case and begun their investigation.",open,66,2025-06-14 04:50:00
BLR-2024-0067,2025-06-30,18:30:00,Malleswaram PS,Bengaluru North,Cheating,IPC 379,Malleshwaram,13.059282,77.582549,Residents of Malleshwaram reported a cheating incident to the police. The victim sustained losses and immediately notified the nearest police station. CCTV footage from nearby cameras is being reviewed by the investigating team. The police have assured that the matter will be resolved promptly.,open,67,2025-06-30 05:30:00
BLR-2024-0068,2025-07-17,00:30:00,Hebbal PS,Bengaluru North,Robbery,"IPC 392, IPC 394",Hebbal,13.059531,77.569865,Residents of Hebbal reported a robbery incident to the police. The victim sustained losses and immediately notified the nearest police station. CCTV footage from nearby cameras is being reviewed by the investigating team. The police have assured that the matter will be resolved promptly.,under_investigation,68,2025-07-17 03:05:00
BLR-2024-0069,2026-03-16,11:00:00,Whitefield PS,Bengaluru East,Vehicle Theft,IPC 379,Whitefield,13.003824,77.656957,A case of vehicle theft occurred near Whitefield area in Bangalore. The complainant stated that the incident took place during the early hours. The accused fled the scene before authorities could arrive. Officers have collected evidence and are currently pursuing leads.,open,69,2026-03-16 01:02:00
BLR-2024-0070,2025-07-12,18:30:00,BTM Layout PS,Bengaluru South,Burglary,IPC 379,Sarjapur,12.932789,77.603794,A complaint regarding burglary was lodged at the Sarjapur police station. The incident reportedly occurred in a busy area during daylight hours. Local authorities have taken cognizance of the matter and filed an FIR. Further investigation is underway to identify and apprehend the suspect.,closed,70,2025-07-12 05:12:00
BLR-2024-0071,2025-06-14,00:30:00,JP Nagar PS,Bengaluru South,Cheating,IPC 379,JP Nagar,12.924606,77.567079,A case of cheating occurred near JP Nagar area in Bangalore. The complainant stated that the incident took place during the early hours. The accused fled the scene before authorities could arrive. Officers have collected evidence and are currently pursuing leads.,open,71,2025-06-14 01:49:00
BLR-2024-0072,2025-10-13,02:15:00,Basavanagudi PS,Bengaluru West,Domestic Violence,"IPC 498A, IPC 323",Basavanagudi,12.98313,77.556288,"An incident of domestic violence was reported in Basavanagudi, Bangalore. The victim approached the local police station and filed a complaint. Witnesses present at the scene confirmed the occurrence of the incident. Police have registered the case and begun their investigation.",under_investigation,72,2025-10-13 04:03:00
BLR-2024-0073,2025-09-13,09:45:00,Whitefield PS,Bengaluru East,Assault,"IPC 351, IPC 352",Koramangala,13.023398,77.644563,A case of assault occurred near Koramangala area in Bangalore. The complainant stated that the incident took place during the early hours. The accused fled the scene before authorities could arrive. Officers have collected evidence and are currently pursuing leads.,closed,73,2025-09-13 05:35:00
BLR-2024-0074,2025-09-05,18:30:00,Jayanagar PS,Bengaluru South,Fraud,"IPC 420, IPC 468",Jayanagar,12.912211,77.602868,A case of fraud occurred near Jayanagar area in Bangalore. The complainant stated that the incident took place during the early hours. The accused fled the scene before authorities could arrive. Officers have collected evidence and are currently pursuing leads.,under_investigation,74,2025-09-05 05:27:00
BLR-2024-0075,2026-01-31,18:30:00,Vasanth Nagar PS,Bengaluru Central,Drug Possession,IPC 379,Brigade Road,13.005888,77.609746,Residents of Brigade Road reported a drug possession incident to the police. The victim sustained losses and immediately notified the nearest police station. CCTV footage from nearby cameras is being reviewed by the investigating team. The police have assured that the matter will be resolved promptly.,closed,75,2026-01-31 03:48:00
BLR-2024-0076,2026-02-08,00:30:00,Banashankari PS,Bengaluru South,Fraud,"IPC 420, IPC 468",Bellandur,12.943607,77.586491,A case of fraud occurred near Bellandur area in Bangalore. The complainant stated that the incident took place during the early hours. The accused fled the scene before authorities could arrive. Officers have collected evidence and are currently pursuing leads.,open,76,2026-02-08 03:28:00
BLR-2024-0077,2025-10-30,14:50:00,Yelahanka PS,Bengaluru North,Vandalism,"IPC 427, IPC 435",Yelahanka,13.062813,77.566415,Residents of Yelahanka reported a vandalism incident to the police. The victim sustained losses and immediately notified the nearest police station. CCTV footage from nearby cameras is being reviewed by the investigating team. The police have assured that the matter will be resolved promptly.,open,77,2025-10-30 05:05:00
