fir_id,fir_number,date_filed,time_filed,police_station,district,crime_type,ipc_sections,location_description,latitude,longitude,description_text,status
16,FIR-2024-YEL-016,2024-03-06,21:45,Yelahanka PS,Bengaluru North,burglary,392,"Sathe Ganj, Yelahanka",13.047351,77.577095,At approximately 09:30 hours unknown persons cut the electrical supply line at the rear of the premises and gained entry through the rear window by breaking the iron grille. Gold ornaments weighing 21 grams and cash of Rs 117692 were stolen.,open
17,FIR-2023-HEB-017,2023-06-23,21:00,Hebbal PS,Bengaluru North,robbery,394,"Kalita Ganj, Hebbal",13.037345,77.610294,The complainant was intercepted by 5 persons who forcibly snatched their bag containing cash Rs 63888 and jewellery.,open
18,FIR-2024-KOR-018,2024-08-12,06:45,Koramangala PS,Bengaluru South,robbery,420,"Kala, Koramangala",12.904065,77.544757,Armed persons numbering 2 threatened the complainant at Subramanian Road junction and forcibly took cash of Rs 51107 and a mobile phone.,open
19,FIR-2024-JP -019,2024-07-26,19:30,JP Nagar PS,Bengaluru South,assault,420,"Shankar Zila, JP Nagar",12.925365,77.601927,A group of 5 persons attacked the complainant outside Nadig junction. The victim was taken to the government hospital for moderate injuries.,open
20,FIR-2024-VIJ-020,2024-12-31,09:15,Vijayanagar PS,Bengaluru West,chain_snatching,394,"Rastogi Road, Vijayanagar",12.953385,77.589303,The victim was walking near Dyal Marg junction when two persons on a motorcycle approached from behind. The pillion rider snatched the gold chain weighing 22 grams from the victim neck. The accused fled towards Bellary Road.,under_investigation
21,FIR-2023-HEB-021,2023-03-05,06:45,Hebbal PS,Bengaluru North,vehicle_theft,420,"Karpe Ganj, Hebbal",13.076284,77.605408,The complainant parked their Maruti Swift bearing registration KA-97-AB-7389 near Seth Circle junction and upon returning after 7 hours found the vehicle missing.,open
22,FIR-2023-VIJ-022,2023-01-30,12:30,Vijayanagar PS,Bengaluru West,vehicle_theft,420,"Luthra Circle, Vijayanagar",12.992218,77.584051,The complainant parked their Honda Activa bearing registration KA-11-AB-8022 near Murty Zila junction and upon returning after 3 hours found the vehicle missing.,open
23,FIR-2023-VIJ-023,2023-08-05,14:30,Vijayanagar PS,Bengaluru West,cyber_fraud,394,"Mangat Path, Vijayanagar",12.995923,77.537913,The victim responded to a WhatsApp message offering a part-time job and was asked to pay Rs 10081 as a deposit which was never returned.,open
24,FIR-2023-WHI-024,2023-01-21,19:15,Whitefield PS,Bengaluru East,burglary,392,"Dutta Road, Whitefield",12.941022,77.657746,At approximately 14:30 hours unknown persons cut the electrical supply line at the rear of the premises and gained entry through the rear window by breaking the iron grille. Gold ornaments weighing 31 grams and cash of Rs 48984 were stolen.,closed
25,FIR-2024-MAR-025,2024-11-24,12:45,Marathahalli PS,Bengaluru East,assault,392,"Bhargava Marg, Marathahalli",12.936,77.659861,The complainant was physically attacked by 4 unknown persons near Kapur Nagar junction at approximately 03:30 hours. The victim sustained minor injuries.,closed
26,FIR-2024-RAJ-026,2024-05-16,03:45,Rajajinagar PS,Bengaluru West,vehicle_theft,394,"Dash Street, Rajajinagar",12.983359,77.582871,The complainant parked their Hero Splendor bearing registration KA-69-AB-8921 near Nadkarni Circle junction and upon returning after 8 hours found the vehicle missing.,closed
27,FIR-2023-VIJ-027,2023-03-30,08:45,Vijayanagar PS,Bengaluru West,burglary,392,"Amble Marg, Vijayanagar",12.994848,77.556985,Unknown miscreants gained entry into the premises by forcing the front door lock with a crowbar. Cash of Rs 228072 and electronic items were removed while the family was away.,under_investigation
28,FIR-2024-DEV-028,2024-07-23,00:15,Devanahalli PS,Bengaluru North,cyber_fraud,379,"Ray Marg, Devanahalli",13.009936,77.587643,The complainant received a call from an unknown number claiming to be a bank official and was convinced to share their OTP. Rs 191605 was subsequently transferred without consent.,open
29,FIR-2024-MAG-029,2024-01-13,15:30,Magadi Road PS,Bengaluru West,assault,420,"Bora, Magadi Road",13.019463,77.555039,A group of 2 persons attacked the complainant outside Sahni Street junction. The victim was taken to the government hospital for moderate injuries.,closed
30,FIR-2024-MG -030,2024-05-10,08:30,MG Road PS,Bengaluru Central,burglary,379,"Nair Path, MG Road",13.004863,77.574225,Unknown miscreants gained entry into the premises by forcing the front door lock with a crowbar. Cash of Rs 190602 and electronic items were removed while the family was away.,open
31,FIR-2024-BTM-031,2024-08-10,09:45,BTM Layout PS,Bengaluru South,chain_snatching,420,"Kalla Chowk, BTM Layout",12.908147,77.548436,The victim was walking near Kakar Circle junction when two persons on a motorcycle approached from behind. The pillion rider snatched the gold chain weighing 15 grams from the victim neck. The accused fled towards Outer Ring Road.,closed
32,FIR-2023-RAJ-032,2023-05-02,17:45,Rajajinagar PS,Bengaluru West,burglary,302,"Palla, Rajajinagar",12.979413,77.561842,Unknown miscreants gained entry into the premises by forcing the front door lock with a crowbar. Cash of Rs 230487 and electronic items were removed while the family was away.,open
33,FIR-2023-MAG-033,2023-06-10,07:15,Magadi Road PS,Bengaluru West,chain_snatching,302,"Johal Marg, Magadi Road",12.927306,77.500268,At approximately 22:45 hours two accused on a two-wheeler stopped beside the complainant and grabbed the gold necklace before speeding away.,open
34,FIR-2024-MAG-034,2024-11-08,06:45,Magadi Road PS,Bengaluru West,assault,379,"Hayer Nagar, Magadi Road",12.974256,77.564763,A group of 2 persons attacked the complainant outside Singh Road junction. The victim was taken to the government hospital for grievous injuries.,under_investigation
35,FIR-2024-KOR-035,2024-07-06,15:45,Koramangala PS,Bengaluru South,assault,379,"Solanki Road, Koramangala",12.923904,77.618942,A group of 2 persons attacked the complainant outside Mammen Street junction. The victim was taken to the government hospital for minor injuries.,chargesheeted
36,FIR-2023-DEV-036,2023-10-12,05:45,Devanahalli PS,Bengaluru North,vehicle_theft,420,"Kari Marg, Devanahalli",13.082706,77.594001,The accused broke the steering lock of the complainant vehicle Maruti Swift with registration KA-53-AB-9117 parked outside the residence and drove it away.,open
37,FIR-2023-BTM-037,2023-09-16,10:00,BTM Layout PS,Bengaluru South,cyber_fraud,420,"Luthra Circle, BTM Layout",12.950591,77.612493,The complainant received a call from an unknown number claiming to be a bank official and was convinced to share their OTP. Rs 19209 was subsequently transferred without consent.,under_investigation
38,FIR-2024-YEL-038,2024-03-24,22:45,Yelahanka PS,Bengaluru North,cyber_fraud,379,"Grewal Chowk, Yelahanka",12.988687,77.610002,The complainant received a call from an unknown number claiming to be a bank official and was convinced to share their OTP. Rs 149399 was subsequently transferred without consent.,open
39,FIR-2023-CUB-039,2023-10-26,16:30,Cubbon Park PS,Bengaluru Central,robbery,420,"Divan Path, Cubbon Park",13.005072,77.642624,Armed persons numbering 4 threatened the complainant at Dixit Street junction and forcibly took cash of Rs 54967 and a mobile phone.,under_investigation
40,FIR-2023-HEB-040,2023-10-17,23:30,Hebbal PS,Bengaluru North,chain_snatching,302,"Sem Chowk, Hebbal",13.043792,77.612994,The victim was walking near Chana Chowk junction when two persons on a motorcycle approached from behind. The pillion rider snatched the gold chain weighing 30 grams from the victim neck. The accused fled towards Bellary Road.,open
41,FIR-2024-HEB-041,2024-02-25,01:30,Hebbal PS,Bengaluru North,burglary,420,"Venkataraman Nagar, Hebbal",13.056323,77.628141,Unknown miscreants gained entry into the premises by forcing the front door lock with a crowbar. Cash of Rs 14704 and electronic items were removed while the family was away.,closed
42,FIR-2023-BTM-042,2023-05-28,13:15,BTM Layout PS,Bengaluru South,robbery,379,"Sunder Zila, BTM Layout",12.911049,77.62692,The complainant was intercepted by 2 persons who forcibly snatched their bag containing cash Rs 26054 and jewellery.,open
43,FIR-2023-SHI-043,2023-10-22,07:00,Shivajinagar PS,Bengaluru Central,robbery,420,"Oza, Shivajinagar",13.019434,77.620637,Armed persons numbering 4 threatened the complainant at Pall Chowk junction and forcibly took cash of Rs 241827 and a mobile phone.,chargesheeted
44,FIR-2024-MG -044,2024-02-26,18:15,MG Road PS,Bengaluru Central,assault,392,"Shukla Zila, MG Road",12.939107,77.605549,A group of 5 persons attacked the complainant outside Kapur junction. The victim was taken to the government hospital for grievous injuries.,open
45,FIR-2024-KOR-045,2024-07-13,05:00,Koramangala PS,Bengaluru South,robbery,420,"Kala Marg, Koramangala",12.958624,77.628765,The complainant was intercepted by 3 persons who forcibly snatched their bag containing cash Rs 124756 and jewellery.,closed
46,FIR-2024-MAG-046,2024-12-17,09:00,Magadi Road PS,Bengaluru West,cyber_fraud,420,"Babu Street, Magadi Road",12.947248,77.556593,The complainant received a call from an unknown number claiming to be a bank official and was convinced to share their OTP. Rs 208355 was subsequently transferred without consent.,open
47,FIR-2023-IND-047,2023-02-10,09:45,Indiranagar PS,Bengaluru East,robbery,379,"Zacharia Ganj, Indiranagar",12.986357,77.664036,Armed persons numbering 3 threatened the complainant at Natarajan Street junction and forcibly took cash of Rs 51042 and a mobile phone.,chargesheeted
48,FIR-2023-MAG-048,2023-04-28,14:00,Magadi Road PS,Bengaluru West,cyber_fraud,392,"Wason, Magadi Road",12.995215,77.522561,The victim responded to a WhatsApp message offering a part-time job and was asked to pay Rs 212272 as a deposit which was never returned.,under_investigation
49,FIR-2024-HEB-049,2024-01-16,03:15,Hebbal PS,Bengaluru North,robbery,420,"Chad, Hebbal",12.988302,77.635423,The complainant was intercepted by 2 persons who forcibly snatched their bag containing cash Rs 21571 and jewellery.,open
50,FIR-2023-MAR-050,2023-04-29,03:15,Marathahalli PS,Bengaluru East,vehicle_theft,302,"Walia Path, Marathahalli",12.941966,77.636164,The accused broke the steering lock of the complainant vehicle TVS Jupiter with registration KA-79-AB-7686 parked outside the residence and drove it away.,under_investigation
51,FIR-2023-CUB-051,2023-08-30,11:00,Cubbon Park PS,Bengaluru Central,vehicle_theft,394,"Walla Nagar, Cubbon Park",12.976047,77.642384,The accused broke the steering lock of the complainant vehicle TVS Jupiter with registration KA-12-AB-4475 parked outside the residence and drove it away.,open
52,FIR-2023-SHI-052,2023-03-12,17:15,Shivajinagar PS,Bengaluru Central,burglary,302,"Nair Nagar, Shivajinagar",12.943195,77.63157,Unknown miscreants gained entry into the premises by forcing the front door lock with a crowbar. Cash of Rs 230026 and electronic items were removed while the family was away.,open
53,FIR-2023-MG -053,2023-09-01,18:30,MG Road PS,Bengaluru Central,cyber_fraud,379,"Ahuja Circle, MG Road",12.939025,77.54984,The victim responded to a WhatsApp message offering a part-time job and was asked to pay Rs 129845 as a deposit which was never returned.,open
54,FIR-2024-HEB-054,2024-10-20,00:00,Hebbal PS,Bengaluru North,vehicle_theft,420,"Halder Zila, Hebbal",13.07053,77.589627,The complainant parked their Maruti Swift bearing registration KA-78-AB-3430 near Toor junction and upon returning after 2 hours found the vehicle missing.,closed
55,FIR-2023-DEV-055,2023-11-29,12:30,Devanahalli PS,Bengaluru North,robbery,420,"Agate Path, Devanahalli",13.036355,77.59002,Armed persons numbering 5 threatened the complainant at Prakash Road junction and forcibly took cash of Rs 123372 and a mobile phone.,open
56,FIR-2024-VIJ-056,2024-11-12,08:30,Vijayanagar PS,Bengaluru West,cyber_fraud,392,"Butala Ganj, Vijayanagar",12.988482,77.547427,The complainant received a call from an unknown number claiming to be a bank official and was convinced to share their OTP. Rs 30313 was subsequently transferred without consent.,under_investigation
57,FIR-2023-JP -057,2023-10-22,19:30,JP Nagar PS,Bengaluru South,chain_snatching,394,"Bajwa Road, JP Nagar",12.87446,77.580741,The victim was walking near Tara Zila junction when two persons on a motorcycle approached from behind. The pillion rider snatched the gold chain weighing 22 grams from the victim neck. The accused fled towards Outer Ring Road.,open
58,FIR-2024-JP -058,2024-09-20,21:00,JP Nagar PS,Bengaluru South,assault,302,"Magar Nagar, JP Nagar",12.957008,77.612946,A group of 3 persons attacked the complainant outside Thaman Street junction. The victim was taken to the government hospital for moderate injuries.,chargesheeted
59,FIR-2024-WHI-059,2024-10-10,00:00,Whitefield PS,Bengaluru East,robbery,302,"Bajwa Road, Whitefield",12.949913,77.632783,The complainant was intercepted by 3 persons who forcibly snatched their bag containing cash Rs 194162 and jewellery.,closed
60,FIR-2023-IND-060,2023-10-06,14:45,Indiranagar PS,Bengaluru East,chain_snatching,420,"Kar Road, Indiranagar",12.989108,77.632218,The victim was walking near Varkey junction when two persons on a motorcycle approached from behind. The pillion rider snatched the gold chain weighing 30 grams from the victim neck. The accused fled towards Outer Ring Road.,chargesheeted
61,FIR-2023-YEL-061,2023-07-29,09:15,Yelahanka PS,Bengaluru North,chain_snatching,392,"Shroff Marg, Yelahanka",13.062216,77.575945,The victim was walking near Morar Marg junction when two persons on a motorcycle approached from behind. The pillion rider snatched the gold chain weighing 35 grams from the victim neck. The accused fled towards Outer Ring Road.,open
62,FIR-2023-BTM-062,2023-03-21,10:45,BTM Layout PS,Bengaluru South,vehicle_theft,302,"Palla Chowk, BTM Layout",12.904542,77.594014,The accused broke the steering lock of the complainant vehicle Hero Splendor with registration KA-59-AB-6928 parked outside the residence and drove it away.,open
63,FIR-2024-JP -063,2024-06-20,02:45,JP Nagar PS,Bengaluru South,vehicle_theft,394,"Dara Marg, JP Nagar",12.93868,77.552157,The complainant parked their Maruti Swift bearing registration KA-45-AB-3419 near Gokhale Marg junction and upon returning after 4 hours found the vehicle missing.,under_investigation
64,FIR-2023-MG -064,2023-06-06,20:00,MG Road PS,Bengaluru Central,assault,392,"Tripathi Ganj, MG Road",13.016729,77.607395,A group of 5 persons attacked the complainant outside Vig junction. The victim was taken to the government hospital for minor injuries.,chargesheeted
65,FIR-2023-JP -065,2023-10-09,18:00,JP Nagar PS,Bengaluru South,cyber_fraud,394,"Garg Road, JP Nagar",12.914834,77.561041,The victim responded to a WhatsApp message offering a part-time job and was asked to pay Rs 223024 as a deposit which was never returned.,closed
66,FIR-2024-MAR-066,2024-10-29,06:30,Marathahalli PS,Bengaluru East,assault,302,"Pant Street, Marathahalli",12.975963,77.605886,The complainant was physically attacked by 3 unknown persons near Basak Circle junction at approximately 14:00 hours. The victim sustained moderate injuries.,chargesheeted
67,FIR-2024-JP -067,2024-09-16,05:30,JP Nagar PS,Bengaluru South,assault,394,"Bakshi, JP Nagar",12.955894,77.568742,A group of 4 persons attacked the complainant outside Sachar Marg junction. The victim was taken to the government hospital for grievous injuries.,closed
68,FIR-2024-CUB-068,2024-08-19,21:15,Cubbon Park PS,Bengaluru Central,chain_snatching,394,"Roy Path, Cubbon Park",12.952623,77.610205,At approximately 04:00 hours two accused on a two-wheeler stopped beside the complainant and grabbed the gold necklace before speeding away.,under_investigation
69,FIR-2023-MAR-069,2023-07-04,06:30,Marathahalli PS,Bengaluru East,cyber_fraud,420,"Sha Circle, Marathahalli",12.947601,77.690798,The complainant received a call from an unknown number claiming to be a bank official and was convinced to share their OTP. Rs 138087 was subsequently transferred without consent.,open
70,FIR-2023-SHI-070,2023-06-19,23:45,Shivajinagar PS,Bengaluru Central,assault,379,"Mangal Circle, Shivajinagar",12.962686,77.612236,The complainant was physically attacked by 4 unknown persons near Saran Ganj junction at approximately 14:30 hours. The victim sustained moderate injuries.,closed
71,FIR-2024-KOR-071,2024-01-27,16:45,Koramangala PS,Bengaluru South,cyber_fraud,392,"Wali Road, Koramangala",12.945789,77.610126,The complainant received a call from an unknown number claiming to be a bank official and was convinced to share their OTP. Rs 130983 was subsequently transferred without consent.,open
72,FIR-2023-VIJ-072,2023-05-31,13:00,Vijayanagar PS,Bengaluru West,assault,392,"Mistry Ganj, Vijayanagar",13.00147,77.588463,The complainant was physically attacked by 3 unknown persons near Kar Nagar junction at approximately 13:00 hours. The victim sustained minor injuries.,under_investigation
73,FIR-2023-IND-073,2023-12-10,04:15,Indiranagar PS,Bengaluru East,robbery,379,"Memon, Indiranagar",12.957088,77.673776,Armed persons numbering 3 threatened the complainant at Shukla junction and forcibly took cash of Rs 166309 and a mobile phone.,closed
74,FIR-2023-HEB-074,2023-10-23,07:30,Hebbal PS,Bengaluru North,chain_snatching,379,"Goswami Ganj, Hebbal",12.990575,77.588983,At approximately 02:00 hours two accused on a two-wheeler stopped beside the complainant and grabbed the gold necklace before speeding away.,chargesheeted
75,FIR-2023-IND-075,2023-09-04,18:45,Indiranagar PS,Bengaluru East,cyber_fraud,392,"Handa Marg, Indiranagar",12.994837,77.599361,The victim responded to a WhatsApp message offering a part-time job and was asked to pay Rs 233938 as a deposit which was never returned.,open
76,FIR-2023-RAJ-076,2023-09-04,23:00,Rajajinagar PS,Bengaluru West,cyber_fraud,302,"Ahuja Nagar, Rajajinagar",12.993319,77.533252,The complainant received a call from an unknown number claiming to be a bank official and was convinced to share their OTP. Rs 50898 was subsequently transferred without consent.,chargesheeted
77,FIR-2023-MAR-077,2023-02-14,06:00,Marathahalli PS,Bengaluru East,burglary,394,"Modi Marg, Marathahalli",13.021737,77.642338,Unknown miscreants gained entry into the premises by forcing the front door lock with a crowbar. Cash of Rs 55096 and electronic items were removed while the family was away.,chargesheeted
78,FIR-2024-JP -078,2024-01-31,10:15,JP Nagar PS,Bengaluru South,vehicle_theft,420,"Walla Road, JP Nagar",12.933307,77.566735,The accused broke the steering lock of the complainant vehicle Bajaj Pulsar with registration KA-70-AB-5813 parked outside the residence and drove it away.,under_investigation
79,FIR-2024-VIJ-079,2024-09-09,22:45,Vijayanagar PS,Bengaluru West,vehicle_theft,392,"Dhingra, Vijayanagar",12.988776,77.535155,The complainant parked their Honda Activa bearing registration KA-10-AB-7655 near Ganguly junction and upon returning after 6 hours found the vehicle missing.,open
80,FIR-2023-DEV-080,2023-02-05,04:00,Devanahalli PS,Bengaluru North,vehicle_theft,392,"Bail Nagar, Devanahalli",13.063652,77.583633,The accused broke the steering lock of the complainant vehicle TVS Jupiter with registration KA-48-AB-7095 parked outside the residence and drove it away.,open
81,FIR-2023-HEB-081,2023-11-18,20:30,Hebbal PS,Bengaluru North,vehicle_theft,392,"Setty Zila, Hebbal",13.081852,77.549591,The complainant parked their Maruti Swift bearing registration KA-91-AB-8311 near Chauhan Circle junction and upon returning after 4 hours found the vehicle missing.,chargesheeted
82,FIR-2023-MG -082,2023-03-17,14:15,MG Road PS,Bengaluru Central,burglary,420,"Goda Ganj, MG Road",13.021326,77.625651,Unknown miscreants gained entry into the premises by forcing the front door lock with a crowbar. Cash of Rs 149178 and electronic items were removed while the family was away.,open
83,FIR-2023-WHI-083,2023-08-31,15:00,Whitefield PS,Bengaluru East,burglary,394,"Vasa Zila, Whitefield",12.983802,77.627691,At approximately 19:00 hours unknown persons cut the electrical supply line at the rear of the premises and gained entry through the rear window by breaking the iron grille. Gold ornaments weighing 12 grams and cash of Rs 86078 were stolen.,under_investigation
84,FIR-2024-MAR-084,2024-11-27,16:30,Marathahalli PS,Bengaluru East,vehicle_theft,392,"Jain Road, Marathahalli",13.016196,77.668826,The complainant parked their Honda Activa bearing registration KA-67-AB-3507 near Chaudhari Zila junction and upon returning after 5 hours found the vehicle missing.,under_investigation
85,FIR-2023-CUB-085,2023-10-18,02:30,Cubbon Park PS,Bengaluru Central,assault,392,"Bir Marg, Cubbon Park",12.985106,77.599684,The complainant was physically attacked by 3 unknown persons near Sabharwal Road junction at approximately 20:30 hours. The victim sustained moderate injuries.,closed
86,FIR-2023-HEB-086,2023-02-12,00:00,Hebbal PS,Bengaluru North,assault,379,"Kamdar Path, Hebbal",13.080655,77.624102,A group of 4 persons attacked the complainant outside Dhillon Ganj junction. The victim was taken to the government hospital for grievous injuries.,open
87,FIR-2023-KOR-087,2023-03-16,22:00,Koramangala PS,Bengaluru South,vehicle_theft,392,"Mishra Nagar, Koramangala",12.908061,77.578425,The complainant parked their Maruti Swift bearing registration KA-94-AB-6658 near Seth Nagar junction and upon returning after 7 hours found the vehicle missing.,closed
88,FIR-2023-YEL-088,2023-09-05,14:00,Yelahanka PS,Bengaluru North,cyber_fraud,394,"Chana Circle, Yelahanka",13.03076,77.561088,The complainant received a call from an unknown number claiming to be a bank official and was convinced to share their OTP. Rs 114611 was subsequently transferred without consent.,closed
89,FIR-2024-KOR-089,2024-05-24,00:00,Koramangala PS,Bengaluru South,cyber_fraud,420,"Vasa Ganj, Koramangala",12.914644,77.626669,The complainant received a call from an unknown number claiming to be a bank official and was convinced to share their OTP. Rs 18248 was subsequently transferred without consent.,chargesheeted
90,FIR-2024-CUB-090,2024-01-10,12:30,Cubbon Park PS,Bengaluru Central,robbery,379,"Bala Nagar, Cubbon Park",12.961658,77.601628,Armed persons numbering 3 threatened the complainant at Kunda Zila junction and forcibly took cash of Rs 106279 and a mobile phone.,chargesheeted
91,FIR-2024-VIJ-091,2024-01-10,04:15,Vijayanagar PS,Bengaluru West,assault,302,"Pai Street, Vijayanagar",12.970712,77.550008,The complainant was physically attacked by 4 unknown persons near Menon Street junction at approximately 01:15 hours. The victim sustained moderate injuries.,under_investigation
92,FIR-2023-CUB-092,2023-11-03,18:30,Cubbon Park PS,Bengaluru Central,assault,302,"Sane Marg, Cubbon Park",13.004429,77.597834,A group of 5 persons attacked the complainant outside Mukhopadhyay Path junction. The victim was taken to the government hospital for grievous injuries.,closed
93,FIR-2023-YEL-093,2023-02-22,18:45,Yelahanka PS,Bengaluru North,robbery,392,"Master Nagar, Yelahanka",13.038223,77.619118,The complainant was intercepted by 4 persons who forcibly snatched their bag containing cash Rs 155095 and jewellery.,open
94,FIR-2024-JP -094,2024-02-25,16:45,JP Nagar PS,Bengaluru South,burglary,379,"Walla Circle, JP Nagar",12.934678,77.581868,Unknown miscreants gained entry into the premises by forcing the front door lock with a crowbar. Cash of Rs 103782 and electronic items were removed while the family was away.,under_investigation
95,FIR-2023-HEB-095,2023-09-10,08:30,Hebbal PS,Bengaluru North,burglary,392,"Chad Chowk, Hebbal",13.079949,77.645226,Unknown miscreants gained entry into the premises by forcing the front door lock with a crowbar. Cash of Rs 88110 and electronic items were removed while the family was away.,closed
96,FIR-2023-KOR-096,2023-05-30,09:00,Koramangala PS,Bengaluru South,cyber_fraud,394,"Agate, Koramangala",12.959631,77.537903,The victim responded to a WhatsApp message offering a part-time job and was asked to pay Rs 61095 as a deposit which was never returned.,closed
97,FIR-2024-MG -097,2024-11-16,16:15,MG Road PS,Bengaluru Central,chain_snatching,392,"Hora Chowk, MG Road",12.926849,77.58593,At approximately 03:15 hours two accused on a two-wheeler stopped beside the complainant and grabbed the gold necklace before speeding away.,under_investigation
98,FIR-2023-MAG-098,2023-04-02,20:15,Magadi Road PS,Bengaluru West,chain_snatching,302,"Manne Circle, Magadi Road",12.993669,77.585033,The victim was walking near Gera Marg junction when two persons on a motorcycle approached from behind. The pillion rider snatched the gold chain weighing 19 grams from the victim neck. The accused fled towards Outer Ring Road.,under_investigation
99,FIR-2023-DEV-099,2023-12-10,09:45,Devanahalli PS,Bengaluru North,chain_snatching,302,"Rajagopalan Road, Devanahalli",13.038232,77.635926,The victim was walking near Jha Path junction when two persons on a motorcycle approached from behind. The pillion rider snatched the gold chain weighing 25 grams from the victim neck. The accused fled towards Outer Ring Road.,under_investigation
100,FIR-2023-MAG-100,2023-07-17,05:45,Magadi Road PS,Bengaluru West,robbery,420,"Kulkarni Ganj, Magadi Road",12.971328,77.508674,Armed persons numbering 5 threatened the complainant at Grover Marg junction and forcibly took cash of Rs 89830 and a mobile phone.,under_investigation
101,FIR-2024-MAG-101,2024-08-09,00:30,Magadi Road PS,Bengaluru West,robbery,394,"Shetty Zila, Magadi Road",12.989077,77.506212,Armed persons numbering 4 threatened the complainant at Mittal Circle junction and forcibly took cash of Rs 111277 and a mobile phone.,closed
102,FIR-2024-MG -102,2024-05-04,04:45,MG Road PS,Bengaluru Central,burglary,302,"Oommen Nagar, MG Road",12.958962,77.614794,Unknown miscreants gained entry into the premises by forcing the front door lock with a crowbar. Cash of Rs 183347 and electronic items were removed while the family was away.,open
